carId,make,model,seriesYear,price,engineSize,tankCapacity,bodyType,seatingCapacity,transmission
14891,DATSUN,FAIRLADY,1964,2530,1.5L,43L,2D ROADSTER,0,4M
17058,TOYOTA,LANDCRUISER,1966,2880,3.9L,70L,2D SOFTTOP,3,3M4x4
15190,CHRYSLER,VALIANT,1966,2490,3.7L,77L,4D SEDAN,0,3M
15196,CHRYSLER,VALIANT,1966,2128,3.7L,65L,UTILITY,3,3M
14988,ALFA ROMEO,SPIDER,1968,4695,1.8L,0L,2D ROADSTER,0,5M
14894,DATSUN,1000,1968,1899,1.0L,0L,4D SEDAN,0,3M
16935,HOLDEN,KINGSWOOD,1968,2924,5.0L,5L,4D SEDAN,0,2A
16107,FORD,CAPRI,1969,2950,1.6L,0L,2D SEDAN,0,4M
15053,AUSTIN,1800,1969,2726,1.8L,0L,4D SEDAN,0,3A
14892,DATSUN,1000,1969,1895,1.0L,0L,2D WAGON,0,3M
16934,HOLDEN,KINGSWOOD,1969,2476,3.0L,0L,4D SEDAN,0,3M
14963,VOLKSWAGEN,1500,1970,2059,1.5L,0L,2D SEDAN,0,4M
15289,FIAT,500,1970,1278,0.5L,0L,2D SEDAN,0,4M
17506,HOLDEN,PREMIER,1970,3305,3.0L,0L,4D SEDAN,0,3A
16635,FORD,FAIRLANE,1970,4528,5.8L,74L,4D SEDAN,0,3A
14968,VOLKSWAGEN,1300,1971,2085,1.3L,40L,2D SEDAN,4,4M
14973,VOLKSWAGEN,1600,1971,2245,1.6L,0L,2D SEDAN,0,4M
17505,HOLDEN,PREMIER,1971,3829,5.0L,0L,4D WAGON,0,2A
17322,HOLDEN,MONARO,1971,3795,5.0L,77L,2D COUPE,0,4M
15219,CHRYSLER,VALIANT,1971,3955,4.0L,7L,4D SEDAN,0,3A
15198,CHRYSLER,CHARGER,1971,3395,4.3L,68L,2D COUPE,0,3M
16767,FORD,FALCON,1971,3096,5.0L,0L,4D SEDAN,0,3A
14819,LAND ROVER,(4x4),1972,5203,2.3L,73L,2D HARDTOP,12,4M4x4
16373,TOYOTA,COROLLA,1972,2649,1.2L,0L,2D SEDAN,0,3A
16930,HOLDEN,KINGSWOOD,1972,2045,3.3L,5L,4D SEDAN,0,3M
17795,HOLDEN,TORANA,1972,2895,2.3L,45L,4D SEDAN,0,3M
15194,CHRYSLER,CHARGER,1972,4175,5.2L,68L,2D COUPE,0,3A
15971,CITROEN,DS,1973,7990,2.3L,65L,4D SEDAN,5,4M
16933,HOLDEN,KINGSWOOD,1974,4753,5.0L,73L,4D SEDAN,5,3A
17790,HOLDEN,TORANA,1974,4395,4.1L,54L,4D SEDAN,5,3A
17792,HOLDEN,TORANA,1974,2538,1.3L,45L,2D SEDAN,0,3M
15170,PEUGEOT,504,1975,7630,2.0L,56L,4D SEDAN,5,4M
14969,VOLKSWAGEN,1600,1975,3798,1.6L,42L,2D SEDAN,4,4M
16932,HOLDEN,KINGSWOOD,1975,4785,3.3L,73L,4D SEDAN,5,3M
17508,HOLDEN,PREMIER,1975,6516,5.0L,73L,4D WAGON,5,3A
17321,HOLDEN,MONARO,1975,6199,5.0L,73L,4D SEDAN,5,4M
16477,FORD,CORTINA,1975,4919,4.1L,54L,4D SEDAN,5,4M
15216,CHRYSLER,CHARGER,1975,6162,5.2L,68L,2D COUPE,5,3A
16931,HOLDEN,KINGSWOOD,1976,6067,3.3L,75L,4D SEDAN,5,3A
17504,HOLDEN,PREMIER,1976,7437,4.1L,75L,4D WAGON,5,3A
16421,TOYOTA,COROLLA,1976,4419,1.2L,50L,2D SEDAN,5,3A
16458,TOYOTA,COROLLA,1976,4359,1.2L,50L,4D SEDAN,5,4M
17793,HOLDEN,TORANA,1976,6495,4.1L,52.5L,4D SEDAN,5,4M
16755,FORD,FALCON,1976,5790,4.9L,67L,UTILITY,3,3A
14844,BMW,5,1977,23429,2.8L,70L,4D SEDAN,5,4M
14893,DATSUN,120Y,1977,4649,1.2L,44L,4D SEDAN,5,4M
14895,DATSUN,180B,1977,6012,1.8L,55L,2D HARDTOP,5,5M
17043,TOYOTA,LANDCRUISER,1977,7068,4.2L,70L,2D HARDTOP,3,4M4x4
17507,HOLDEN,PREMIER,1977,7604,4.1L,75L,4D SEDAN,5,3A
17789,HOLDEN,TORANA,1977,6399,3.3L,52.5L,4D SEDAN,5,3A
17791,HOLDEN,TORANA,1977,6798,3.3L,52.5L,4D SEDAN,5,3A
16669,FORD,FAIRMONT,1977,8777,4.9L,73L,4D WAGON,5,3A
15206,CHRYSLER,VALIANT,1978,6759,4.3L,0L,PANEL VAN,3,4M
16168,TOYOTA,CELICA,1978,9119,2.0L,58L,2D LIFTBACK,4,3A
14815,LAND ROVER,(4x4),1978,9045,2.3L,45L,2D HARDTOP,8,4M4x4
16936,HOLDEN,KINGSWOOD,1978,6290,3.3L,70L,UTILITY,3,3M
17794,HOLDEN,TORANA,1978,7353,3.3L,55L,4D SEDAN,5,3A
15110,VOLVO,2,1979,11220,2.1L,60L,4D SEDAN,5,3A
